name,kcal,carbs,carbs_sugar_part,fiber,protein,fat,fat_saturated,data_source_url
"Hearts of palm, raw",115.0000000000,25.6100000000,17.1600000000,1.5000000000,2.7000000000,0.2000000000,0.0460000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167714/nutrients
"Mollusks, snail, raw",90.0000000000,2.0000000000,0.0000000000,0.0000000000,16.1000000000,1.4000000000,0.3610000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167744/nutrients
"Turtle, green, raw",89.0000000000,0.0000000000,0.0000000000,0.0000000000,19.8000000000,0.5000000000,0.1270000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167745/nutrients
"Lemon juice, raw",22.0000000000,6.9000000000,2.5200000000,0.3000000000,0.3500000000,0.2400000000,0.0400000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167747/nutrients
"Lemon peel, raw",47.0000000000,16.0000000000,4.1700000000,10.6000000000,1.5000000000,0.3000000000,0.0390000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167749/nutrients
"Raspberries, raw",52.0000000000,11.9400000000,4.4200000000,6.5000000000,1.2000000000,0.6500000000,0.0190000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167755/nutrients
"Rhubarb, raw",21.0000000000,4.5400000000,1.1000000000,1.8000000000,0.9000000000,0.2000000000,0.0530000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167758/nutrients
"Sapote, mamey, raw",124.0000000000,32.1000000000,20.1400000000,5.4000000000,1.4500000000,0.4600000000,0.1690000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167760/nutrients
"Soursop, raw",66.0000000000,16.8400000000,13.5400000000,3.3000000000,1.0000000000,0.3000000000,0.0510000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167761/nutrients
"Strawberries, raw",32.0000000000,7.6800000000,4.8900000000,2.0000000000,0.6700000000,0.3000000000,0.0150000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167762/nutrients
"Tamarinds, raw",239.0000000000,62.5000000000,38.8000000000,5.1000000000,2.8000000000,0.6000000000,0.2720000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167763/nutrients
"Watermelon, raw",30.0000000000,7.5500000000,6.2000000000,0.4000000000,0.6100000000,0.1500000000,0.0160000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167765/nutrients
"Abiyuch, raw",69.0000000000,17.6000000000,8.5500000000,5.3000000000,1.5000000000,0.1000000000,0.0140000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167782/nutrients
"Rowal, raw",111.0000000000,23.9000000000,14.1000000000,6.2000000000,2.3000000000,2.0000000000,0.2450000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167783/nutrients
"Pork, fresh, composite of trimmed leg, loin, shoulder, and spareribs, (includes cuts to be cured), separable lean and fat, raw",211.0000000000,0.0000000000,0.0000000000,0.0000000000,18.2200000000,14.7900000000,4.9180000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167810/nutrients
"Pork, fresh, backfat, raw",812.0000000000,0.0000000000,0.0000000000,0.0000000000,2.9200000000,88.6900000000,32.2100000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167811/nutrients
"Pork, fresh, belly, raw",518.0000000000,0.0000000000,0.0000000000,0.0000000000,9.3400000000,53.0100000000,19.3300000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167812/nutrients
"Pork, fresh, separable fat, raw",632.0000000000,0.0000000000,0.0000000000,0.0000000000,9.2500000000,65.7000000000,21.9790000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167813/nutrients
"Pork, fresh, leg (ham), rump half, separable lean and fat, raw",182.0000000000,0.0000000000,0.0000000000,0.0000000000,20.2700000000,10.6300000000,3.5260000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167814/nutrients
"Pork, fresh, loin, whole, separable lean and fat, raw",198.0000000000,0.0000000000,0.0000000000,0.0000000000,19.7400000000,12.5800000000,4.3600000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167818/nutrients
"Pork, fresh, loin, blade (chops or roasts), bone-in, separable lean and fat, raw",194.0000000000,0.0000000000,0.0000000000,0.0000000000,19.5600000000,12.2700000000,4.2700000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167822/nutrients
"Pork, fresh, loin, center loin (chops), bone-in, separable lean only, raw",127.0000000000,0.0000000000,0.0000000000,0.0000000000,21.9900000000,3.7100000000,1.0980000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167829/nutrients
"Pork, fresh, loin, center rib (chops or roasts), bone-in, separable lean only, raw",136.0000000000,0.0000000000,0.0000000000,0.0000000000,21.7900000000,4.8000000000,1.6170000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167833/nutrients
"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw",155.0000000000,0.0000000000,0.0000000000,0.0000000000,21.5500000000,6.9400000000,2.4500000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167839/nutrients
"Pork, fresh, shoulder, whole, separable lean and fat, raw",236.0000000000,0.0000000000,0.0000000000,0.0000000000,17.1800000000,17.9900000000,6.2400000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167843/nutrients
"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat, raw",186.0000000000,0.0000000000,0.0000000000,0.0000000000,17.4200000000,12.3600000000,4.3480000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167849/nutrients
"Pork, fresh, spareribs, separable lean and fat, raw",277.0000000000,0.0000000000,0.0000000000,0.0000000000,15.4700000000,23.4000000000,7.5290000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167853/nutrients
"Pork, fresh, variety meats and by-products, feet, raw",212.0000000000,0.0000000000,0.0000000000,0.0000000000,23.1600000000,12.5900000000,3.5700000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167859/nutrients
"Pork, fresh, variety meats and by-products, stomach, raw",159.0000000000,0.0000000000,0.0000000000,0.0000000000,16.8500000000,10.1400000000,4.0250000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167867/nutrients
"Pork, fresh, loin, center rib (chops or roasts), boneless, separable lean and fat, raw",211.0000000000,0.0000000000,0.0000000000,0.0000000000,19.9000000000,14.0100000000,4.8600000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167889/nutrients
"Pork, fresh, loin, country-style ribs, separable lean and fat, raw",189.0000000000,0.0000000000,0.0000000000,0.0000000000,19.3400000000,11.8200000000,2.3700000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167895/nutrients
"Pork, fresh, loin, sirloin (chops or roasts), boneless, separable lean only, raw",121.0000000000,0.0000000000,0.0000000000,0.0000000000,22.8100000000,2.5900000000,0.9060000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/167901/nutrients
"Frog legs, raw",73.0000000000,0.0000000000,0.0000000000,0.0000000000,16.4000000000,0.3000000000,0.0760000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168148/nutrients
"Kiwifruit, green, raw",61.0000000000,14.6600000000,8.9900000000,3.0000000000,1.1400000000,0.5200000000,0.0290000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168153/nutrients
"Kumquats, raw",71.0000000000,15.9000000000,9.3600000000,6.5000000000,1.8800000000,0.8600000000,0.1030000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168154/nutrients
"Limes, raw",30.0000000000,10.5400000000,1.6900000000,2.8000000000,0.7000000000,0.2000000000,0.0220000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168155/nutrients
"Lime juice, raw",25.0000000000,8.4200000000,1.6900000000,0.4000000000,0.4200000000,0.0700000000,0.0080000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168156/nutrients
"Feijoa, raw",61.0000000000,15.2100000000,8.2000000000,6.4000000000,0.7100000000,0.4200000000,0.1040000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168176/nutrients
"Pears, asian, raw",42.0000000000,10.6500000000,7.0500000000,3.6000000000,0.5000000000,0.2300000000,0.0120000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168177/nutrients
"Kiwifruit, ZESPRI SunGold, raw",63.0000000000,15.7900000000,12.3000000000,1.4000000000,1.0200000000,0.2800000000,0.0650000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168211/nutrients
"Plantains, green, raw",152.0000000000,36.6600000000,2.2900000000,2.2000000000,1.2500000000,0.0700000000,0.1210000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168215/nutrients
"Pork, fresh, carcass, separable lean and fat, raw",376.0000000000,0.0000000000,0.0000000000,0.0000000000,13.9100000000,35.0700000000,12.4400000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168219/nutrients
"Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder), separable lean only, raw",134.0000000000,0.0000000000,0.0000000000,0.0000000000,21.2000000000,4.8600000000,1.6250000000,https://fdc.nal.usda.gov/fdc-app.html#/food-details/168220/nutrients
