food_name,data_source_url,portion_name,amount
"Mollusks, snail, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167744/nutrients,3.0 oz,85.0
"Turtle, green, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167745/nutrients,3.0 oz,85.0
"Lemon juice, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167747/nutrients,1.0 cup,244.0
"Lemon juice, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167747/nutrients,1.0 fl oz,30.5
"Lemon juice, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167747/nutrients,1.0 lemon yields,48.0
"Lemon juice, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167747/nutrients,1.0 wedge yields,5.9
"Lemon peel, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167749/nutrients,1.0 tbsp,6.0
"Lemon peel, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167749/nutrients,1.0 tsp,2.0
"Prickly pears, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167750/nutrients,1.0 cup,149.0
"Prickly pears, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167750/nutrients,1.0 fruit without refuse,103.0
"Pummelo, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167754/nutrients,"1.0 cup, sections",190.0
"Pummelo, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167754/nutrients,1.0 fruit without refuse,609.0
"Raspberries, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167755/nutrients,1.0 cup,123.0
"Raspberries, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167755/nutrients,"1.0 pint as purchased, yields",312.0
"Raspberries, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167755/nutrients,10.0 raspberries,19.0
"Rhubarb, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167758/nutrients,"1.0 cup, diced",122.0
"Rhubarb, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167758/nutrients,1.0 stalk,51.0
"Sapodilla, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167759/nutrients,"1.0 cup, pulp",241.0
"Sapodilla, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167759/nutrients,1.0 sapodilla,170.0
"Sapote, mamey, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167760/nutrients,"1.0 cup 1"" pieces",175.0
"Sapote, mamey, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167760/nutrients,1.0 fruit without refuse,558.0
"Soursop, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167761/nutrients,"1.0 cup, pulp",225.0
"Soursop, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167761/nutrients,"1.0 fruit (7"" x 5-1/4"" dia)",625.0
"Strawberries, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167762/nutrients,"1.0 cup, halves",152.0
"Strawberries, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167762/nutrients,"1.0 cup, pureed",232.0
"Strawberries, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167762/nutrients,"1.0 cup, sliced",166.0
"Strawberries, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167762/nutrients,"1.0 cup, whole",144.0
"Strawberries, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167762/nutrients,"1.0 extra large (1-5/8"" dia)",27.0
"Strawberries, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167762/nutrients,"1.0 large (1-3/8"" dia)",18.0
"Strawberries, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167762/nutrients,"1.0 medium (1-1/4"" dia)",12.0
"Strawberries, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167762/nutrients,"1.0 pint as purchased, yields",357.0
"Strawberries, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167762/nutrients,"1.0 small (1"" dia)",7.0
"Strawberries, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167762/nutrients,1.0 NLEA serving,147.0
"Tamarinds, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167763/nutrients,"1.0 cup, pulp",120.0
"Tamarinds, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167763/nutrients,"1.0 fruit (3"" x 1"")",2.0
"Watermelon, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167765/nutrients,"1.0 cup, balls",154.0
"Watermelon, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167765/nutrients,"1.0 cup, diced",152.0
"Watermelon, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167765/nutrients,"1.0 melon (15"" long x 7-1/2"" dia)",4518.0
"Watermelon, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167765/nutrients,1.0 wedge (approx 1/16 of melon),286.0
"Watermelon, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167765/nutrients,10.0 watermelon balls,122.0
"Watermelon, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167765/nutrients,1.0 NLEA serving,280.0
"Grapefruit juice, pink, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167774/nutrients,1.0 cup,247.0
"Grapefruit juice, pink, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167774/nutrients,1.0 fruit yields,196.0
"Abiyuch, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167782/nutrients,0.5 cup,114.0
"Rowal, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167783/nutrients,0.5 cup,114.0
"Pork, fresh, composite of trimmed leg, loin, shoulder, and spareribs, (includes cuts to be cured), separable lean and fat, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167810/nutrients,1.0 oz,28.35
"Pork, fresh, composite of trimmed leg, loin, shoulder, and spareribs, (includes cuts to be cured), separable lean and fat, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167810/nutrients,1.0 lb,453.6
"Pork, fresh, backfat, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167811/nutrients,4.0 oz,113.0
"Pork, fresh, backfat, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167811/nutrients,1.0 lb,453.6
"Pork, fresh, belly, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167812/nutrients,4.0 oz,113.0
"Pork, fresh, belly, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167812/nutrients,1.0 lb,453.6
"Pork, fresh, separable fat, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167813/nutrients,1.0 oz,28.35
"Pork, fresh, separable fat, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167813/nutrients,4.0 oz,113.0
"Pork, fresh, leg (ham), rump half, separable lean and fat, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167814/nutrients,4.0 oz,113.0
"Pork, fresh, leg (ham), rump half, separable lean and fat, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167814/nutrients,1.0 lb,453.6
"Pork, fresh, loin, whole, separable lean and fat, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167818/nutrients,4.0 oz,113.0
"Pork, fresh, loin, whole, separable lean and fat, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167818/nutrients,"1.0 chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 151 g)",117.0
"Pork, fresh, loin, blade (chops or roasts), bone-in, separable lean and fat, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167822/nutrients,4.0 oz,113.0
"Pork, fresh, loin, blade (chops or roasts), bone-in, separable lean and fat, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167822/nutrients,1.0 chop,263.0
"Pork, fresh, loin, center loin (chops), bone-in, separable lean only, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167829/nutrients,4.0 oz,113.0
"Pork, fresh, loin, center loin (chops), bone-in, separable lean only, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167829/nutrients,"1.0 chop without refuse (Yield from 1 raw chop, with refuse, weighing 259g)",178.0
"Pork, fresh, loin, center rib (chops or roasts), bone-in, separable lean only, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167833/nutrients,4.0 oz,113.0
"Pork, fresh, loin, center rib (chops or roasts), bone-in, separable lean only, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167833/nutrients,"1.0 chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 151 g)",86.0
"Pork, fresh, loin, sirloin (chops or roasts), bone-in, separable lean only, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167837/nutrients,4.0 oz,113.0
"Pork, fresh, loin, sirloin (chops or roasts), bone-in, separable lean only, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167837/nutrients,1.0 lb,453.6
"Pork, fresh, loin, sirloin (chops or roasts), bone-in, separable lean only, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167837/nutrients,"1.0 roast without refuse (Yield from 1 raw roast, with refuse, weighing 1818g)",1217.0
"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167839/nutrients,4.0 oz,113.0
"Pork, fresh, loin, top loin (chops), boneless, separable lean and fat, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167839/nutrients,1.0 chop,185.0
"Pork, fresh, shoulder, whole, separable lean and fat, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167843/nutrients,4.0 oz,113.0
"Pork, fresh, shoulder, whole, separable lean and fat, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167843/nutrients,1.0 lb,453.6
"Pork, fresh, shoulder, whole, separable lean only, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167845/nutrients,1.0 oz,28.35
"Pork, fresh, shoulder, whole, separable lean only, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167845/nutrients,1.0 lb,453.6
"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167849/nutrients,4.0 oz,113.0
"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167849/nutrients,"1.0 steak without refuse (Yield from 1 raw steak, with refuse, weighing 380g)",288.0
"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean and fat, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167849/nutrients,1.0 lb,453.6
"Pork, fresh, spareribs, separable lean and fat, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167853/nutrients,4.0 oz,113.0
"Pork, fresh, variety meats and by-products, ears, frozen, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167857/nutrients,1.0 oz,28.35
"Pork, fresh, variety meats and by-products, ears, frozen, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167857/nutrients,1.0 ear,113.0
"Pork, fresh, variety meats and by-products, feet, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167859/nutrients,4.0 oz,113.0
"Pork, fresh, variety meats and by-products, leaf fat, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167861/nutrients,1.0 oz,28.35
"Pork, fresh, variety meats and by-products, leaf fat, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167861/nutrients,4.0 oz,113.0
"Pork, fresh, variety meats and by-products, liver, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167862/nutrients,1.0 oz,28.35
"Pork, fresh, variety meats and by-products, liver, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167862/nutrients,4.0 oz,113.0
"Pork, fresh, variety meats and by-products, lungs, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167864/nutrients,1.0 oz,28.35
"Pork, fresh, variety meats and by-products, lungs, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167864/nutrients,1.0 lb,453.6
"Pork, fresh, variety meats and by-products, spleen, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167865/nutrients,1.0 oz,28.35
"Pork, fresh, variety meats and by-products, spleen, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167865/nutrients,4.0 oz,113.0
"Pork, fresh, variety meats and by-products, stomach, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167867/nutrients,1.0 oz,28.35
"Pork, fresh, variety meats and by-products, stomach, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167867/nutrients,4.0 oz,113.0
"Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder, and spareribs), separable lean and fat, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167888/nutrients,1.0 oz,28.35
"Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder, and spareribs), separable lean and fat, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167888/nutrients,1.0 lb,453.6
"Pork, fresh, loin, center rib (chops or roasts), boneless, separable lean and fat, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167889/nutrients,4.0 oz,113.0
"Pork, fresh, loin, center rib (chops or roasts), boneless, separable lean and fat, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167889/nutrients,"1.0 chop, excluding refuse (yield from 1 raw chop, with refuse, weighing 113 g)",101.0
"Pork, fresh, loin, country-style ribs, separable lean and fat, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167895/nutrients,4.0 oz,113.0
"Pork, fresh, loin, country-style ribs, separable lean and fat, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167895/nutrients,"1.0 rib without refuse (Yield from 1 raw rib, with refuse, weighing 196g)",128.0
"Pork, fresh, loin, sirloin (chops or roasts), boneless, separable lean only, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167901/nutrients,4.0 oz,113.0
"Pork, fresh, loin, sirloin (chops or roasts), boneless, separable lean only, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167901/nutrients,1.0 chop,210.0
"Pork, fresh, ground, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167902/nutrients,1.0 oz,28.35
"Pork, fresh, ground, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167902/nutrients,4.0 oz,113.0
"Pork, fresh, composite of trimmed retail cuts (loin and shoulder blade), separable lean only, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167907/nutrients,1.0 oz,28.35
"Pork, fresh, composite of trimmed retail cuts (loin and shoulder blade), separable lean only, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/167907/nutrients,1.0 lb,453.6
"Frog legs, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/168148/nutrients,1.0 leg,45.0
"Java-plum, (jambolan), raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/168150/nutrients,1.0 cup,135.0
"Java-plum, (jambolan), raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/168150/nutrients,3.0 fruit,9.0
"Kiwifruit, green, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/168153/nutrients,"1.0 cup, sliced",180.0
"Kiwifruit, green, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/168153/nutrients,"1.0 fruit (2"" dia)",69.0
"Kiwifruit, green, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/168153/nutrients,1.0 NLEA serving,148.0
"Kumquats, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/168154/nutrients,1.0 fruit without refuse,19.0
"Limes, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/168155/nutrients,"1.0 fruit (2"" dia)",67.0
"Limes, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/168155/nutrients,1.0 NLEA serving,67.0
"Lime juice, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/168156/nutrients,1.0 cup,242.0
"Lime juice, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/168156/nutrients,1.0 fl oz,30.8
"Lime juice, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/168156/nutrients,1.0 lime yields,44.0
"Quinces, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/168163/nutrients,1.0 fruit without refuse,92.0
"Roselle, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/168170/nutrients,"1.0 cup, without refuse",57.0
"Sugar-apples, (sweetsop), raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/168175/nutrients,"1.0 cup, pulp",250.0
"Sugar-apples, (sweetsop), raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/168175/nutrients,"1.0 fruit (2-7/8"" dia)",155.0
"Feijoa, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/168176/nutrients,"1.0 cup, pureed",243.0
"Feijoa, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/168176/nutrients,1.0 fruit without peel,42.0
"Feijoa, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/168176/nutrients,"1.0 cup 1/2"" chunks",205.0
"Pears, asian, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/168177/nutrients,"1.0 fruit 2-1/4"" high x 2-1/2"" dia",122.0
"Pears, asian, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/168177/nutrients,"1.0 fruit 3-3/8"" high x 3"" diameter",275.0
"Clementines, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/168195/nutrients,1.0 fruit,74.0
"Kiwifruit, ZESPRI SunGold, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/168211/nutrients,1.0 fruit,81.0
"Plantains, green, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/168215/nutrients,1.0 plantain,267.0
"Pork, fresh, carcass, separable lean and fat, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/168219/nutrients,1.0 oz,28.35
"Pork, fresh, carcass, separable lean and fat, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/168219/nutrients,1.0 lb,453.6
"Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder), separable lean only, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/168220/nutrients,4.0 oz,113.0
"Pork, fresh, composite of trimmed retail cuts (leg, loin, shoulder), separable lean only, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/168220/nutrients,1.0 lb,453.6
"Pork, fresh, leg (ham), whole, separable lean and fat, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/168222/nutrients,4.0 oz,113.0
"Pork, fresh, leg (ham), whole, separable lean and fat, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/168222/nutrients,1.0 lb,453.6
"Pork, fresh, leg (ham), whole, separable lean only, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/168224/nutrients,4.0 oz,113.0
"Pork, fresh, leg (ham), whole, separable lean only, raw",https://fdc.nal.usda.gov/fdc-app.html#/food-details/168224/nutrients,1.0 lb,453.6
