name,kcal,carbs,carbs_sugar_part,protein,fat,fat_saturated,fiber
Kichererbsen (Dose),99,15,1,6,0.5,0.5,6
Kidney Beans (Dose),95,14,0.7,6,0.5,0.5,5
Borlotti Bohnen (Dose),122,21,0.6,8,0.7,0,4.5
Weisse Bohnen (Dose),125,20,0,7,0.8,0,4.7
Weisse Soisson-Bohnen (Dose),65,9,0,4.5,0,0,4
Flageolet Bohnen (Dose),64,9.4,0.6,3.6,0.4,0.2,4.2
Haricot Bohnen (Dose),101,12.1,0.4,8,0.7,0,7.2
Edamame,122,5,2,11,5.2,0.6,5.2
Tofu,157,2,0.5,17,9,1,0.5
Tofu (Cauldron),118,1,0.7,12.6,7.1,1.2,1.9
Boulgour,339,66,1.5,11,1.2,0.5,10
Quinoa braun,361,56,4,13,7,0.7,11
Quinoa weiss,354,59,4,14,5,0.5,7
Vollreis,347,69,0.5,8,3,0.5,6
Vollkornreis,358,72.2,0.9,9.8,3,0.9,1.4
Jasminreis,355,79,0,7,1,0,1
Langkornreis,360,83,0.5,5,0.5,0.5,1.5
Basmatireis,352,77.5,0.2,9.4,0.2,0.1,1.2
Sushi Reis,345,0.0,0.0,0.0,0.0,0,0
Couscous,367,72,1.2,13,0.6,0.1,5
Giant Couscous,255,43,0,9,4,2,4
Wholewheat Giant Couscous,396,76.9,3.2,12.3,1.7,0.5,11.9
Ebly,343,70.5,1.6,12.1,1.4,0,6.1
Buchweizen,357,71,0.5,13,1.5,0.5,3.5
Black Venus Rice,357,75.6,1.8,7.2,2.5,0.6,1.9
Vollkornpenne,344,66,2.5,12,2,0.5,7
Vollkorn Gemelli,357,67,3.5,13,2.5,0.5,7
Lasagnenblätter (grün),361,67,4,14,3.5,1.2,3
Haferflocken,373,71,1,13,7,1,7
Vollkornmehl,307,57,1,14,2.5,0.5,11
Ruchmehl,338,64,4,14,1.5,0,6
Weissmehl,353,72,0,12,1,0,4
Polenta,345,74,0.5,8,1,0.5,4
Mais (Dose),102,21,4.5,2.5,0.5,0,1.5
Mais Bio (Dose),75,13,7,2.5,1,0,2
Dorset cereals ,356,58,17,9.9,7.4,1.1,8.9
Dinkel-Quinoa-Cracker,426,53,2.5,9,15,2.5,15
Finn Crisp (Sourdough Rye),347,61,1.6,10,2.6,0.4,20
Dinkel Cracker,414,64,1.5,12,10,5,0
Gerste,354,56.2,0.8,12.5,2.3,0.5,17.3
Spaghetti,172,34,0.7,6.3,0.9,0.2,1.6
Fusilli,352,68,2.5,14,3,0.8,3
Penne,361,68,2.5,14,3,0.8,3
Tapioca gemahlen,340,86,3.3,0.2,0.2,0,0.9
Linsen gelb,350,51.1,2.1,27,2.2,0.4,6.7
Linsen rot,336,48,1,25,2,0,13
Linsen grün,273,40,1,24,1.5,0.2,17
Linsen schwarz (Beluga),304,40.6,1.1,23.4,1.6,0,17
Cacao nibs,228,58,1.8,20,14,8,0
Kakaopulver,345,19,0,20,21,0,0
Sesam,621,0.5,0,20,61,8.9,13
Chia-Samen,475,2.3,0,21.6,33.3,3.2,39.9
Magerquark,65,7,7,9,0.1,0,0
Rahmquark,194,5,5,6,16.7,9.9,0
Naturjoghurt,77,6,6,4.5,3.8,2.3,0
Milch (Drink),55,12.3,12.3,3.2,6.3,3.8,0
Vollmilch,67,5,5,3,3.9,2.3,0
Feta,239,0.1,0,17,19,0,0
Ricotta,169,5,4,6,13,9,0
Kokosnussmilch,193,6,0,2,18,0,0
Gruyère,405,0,0,27,33,21,0
Mozzarella,238,2,1,17,18,12.5,0
Mozarella Legère,166,1.5,1.5,22,8,5,0
Mascarpone,420,4.8,0,4.8,41.5,0,0
Halbrahm,250,3.5,0,2.5,25,0,0
Vollrahm,341,3.5,3,2.5,35.2,20.8,0.5
Schmelzkäse (Gruyère),307,0,0,20,25,14,0
Parmesan,384,0,0,33,28,17,0
Butter,742,0.5,0.5,0.5,82,49,0.5
Halloumi,325,2,1,23,25,17,0
Hüttenkäse,88,3,2,10,4,2.5,0
LC1 (ohne Zucker),47,5.1,5.1,5.4,0,0,0.9
Skyr (Vanille),56,3.7,3.3,9.8,0.2,0,0
Skyr (Lemon Cheesecake),60,5,4,10,0.2,0,0
Creme fraiche,339,3,3,2.5,35.2,20.8,0
Philadelphia,235,4,4,5.5,21.5,14.5,0.2
Innocent Berry Smoothie,60,12,10,0.6,0.9,0.1,0.5
Ossau Iraty Käse,412,0.1,0.1,23.6,35.2,22.5,0.4
Le Rustique Käse,268,1,0.4,21,20,14,0
Brie,265,1,1,19,21,13,0
Lachs frisch,153,0,0,23,7.2,1,0
Lachs geräuchert,117,0,0,18,4.3,1,0
Thunfisch frisch,144,0,0,23,4.9,1.3,0
Dorade frisch,97,0,0,18,2,0.5,0
Forelle frisch,104,0,0,17,3.6,1,0
Sardellen (Dose),175,0,0,23,9,2,0
Kap-Seehecht Rückenfilet,64,0,0,15,0.5,0.5,0
Thunfisch (Dose),190,0,0,25,10,1.5,1.5
Tintenfisch,92,3.1,0,15.6,1.4,0.4,0
Shrimps,71,0.9,0,13.6,1,0.1,0
Grüne Neuseelandmuscheln,99,3,0,16,2.5,0.6,0
Lachsforelle,152,0,0,20,8,0,0
Flunderfilets,81,0,0,18,1,0,0
Atlantische Kabeljau Rückenfilets,81,0,0,19,1,0,0
Meeresfrüchtemischung (Costa),95,2,0,17,2,1,0
Dosentomaten,24,4.5,0.5,1.5,0.5,0,1
Tomatenmark,94,15,15,5,1,0,2.5
Tomate,18,2.7,2.6,0.9,0.2,0,1.2
Cherry Tomaten,18,2.7,2.6,0.9,0.2,0,1.2
Fenchel,31,4.4,0,1.2,0.2,0,3
Lauch,26.5,3.7,3.7,2.1,0.4,0,3.1
Sellerie (Knolle),17,2.1,1.7,1.5,0.3,0.1,3.9
Sellerie (Stange),16,2.4,1.4,0.7,0.2,0,1.6
Aubergine,25,3,3,1,0.2,0,3
Peperoni,31,3.9,3.9,1,0.3,0,2.1
Zucchetti,17,2.1,1.7,1.2,0.3,0.1,1
Champignon,22,2,2,3,0.3,0.1,1
Shitake,34,4.2,0,2.2,0.5,0.1,2.5
Kürbis Butternut,26,6,5,1,0.1,0.1,0.5
Kürbis Knirps,26,6,5,1,0.1,0.1,0.5
Spinat,23,1.4,1.4,2.9,0.4,0.1,2.2
Frühlingszwiebeln,32,5,5,1.8,0.2,0,2.6
Blumenkohl,25,3,3,2,0.3,0.1,2
Broccoli,28,3,2.5,3,0.4,0,2.6
Chicoree,17,1,0,1,0.1,0,3.1
Erbsen (gefroren),77,9,5,5.2,0.4,0.1,4.5
Gurke,15,3,3,0.6,0.1,0,0.5
Karotte,41,7,7,1,0.2,0,2.8
Kartoffel,58,10,0.4,2.6,0.1,0,2.5
Rande,40,7,7,1.5,0.1,0,2.4
Zwiebel,40,7.6,0,1.1,0.1,0,1.7
Knoblauch,149,31,0,6.3,0.5,0.1,2.1
Chili,40,8,7.6,2,0.2,0,1.5
ertig,80,15.8,15.6,1.8,0.8,0.2,2
Avocado,160,1.8,1.8,2,14.7,2.1,6.7
Bohnen (gefroren),30,3.5,2,2,0.5,0.5,3
Oliven (grün),126,0,0,0.5,13,1.5,2.5
